Word , Count
cried , 2
pray , 15
throw , 2
note , 4
lesse , 4
nobility , 2
loue , 24
intent , 2
retrograde , 2
desire , 5
cheere , 3
comfort , 2
prythee , 5
wittenberg , 2
best , 3
madam , 6
sits , 3
smiling , 3
grace , 6
whereof , 3
great , 9
cannon , 2
clowds , 2
respeaking , 2
earthly , 2
thunder , 3
manet , 2
oh , 38
solid , 2
flesh , 4
would , 40
melt , 2
euerlasting , 2
fixt , 2
weary , 2
stale , 2
flat , 2
vnprofitable , 2
fie , 5
an , 24
vnweeded , 2
garden , 2
possesse , 2
meerely , 2
excellent , 10
beteene , 2
windes , 2
remember , 7
she , 25
hang , 3
fed , 2
within , 11
month? , 2
little , 8
month , 2
ere , 8
shooes , 2
were , 14
niobe , 2
teares , 4
mourn'd , 2
longer) , 2
married , 2
mine , 22
vnkle , 5
hercules , 4
moneth? , 2
left , 4
flushing , 2
her , 48
gauled , 2
eyes , 6
such , 25
dexterity , 2
incestuous , 2
sheets , 2
breake , 3
tongue , 6
forget , 2
change , 4
name , 8
very , 25
glad , 4
truant , 2
disposition , 3
enemy , 2
truster , 2
owne , 15
report , 3
affaire , 3
elsenour? , 2
mothers , 6
wedding , 2
indeed , 13
followed , 2
hard , 3
thrift , 4
funerall , 2
bakt-meats , 2
met , 2
dearest , 2
foe , 2
thinkes , 2
lord? , 19
saw , 4
goodly , 2
father? , 4
attent , 2
eare , 11
till , 15
may , 28
deliuer , 3
maruell , 2
heauens , 6
gentlemen , 6
wast , 2
middle , 2
arm'd , 3
at , 37
points , 2
exactly , 2
cap , 3
pe , 2
goes , 8
slow , 2
stately , 2
thrice , 3
walkt , 2
truncheons , 2
length , 4
whilst , 3
bestil'd , 2
third , 3
kept , 5
each , 6
word , 7
made , 10
hands , 9
this? , 7
lifted , 2
vp , 17
head , 18
addresse , 2
morning , 4
cocke , 2
crew , 2
lowd , 2
vanisht , 2
sight , 4
tis , 4
doe , 24
liue , 5
honourd , 2
sirs , 3
troubles , 2
both , 16
foote , 4
face? , 2
countenance , 3
anger , 2
red? , 2
constantly , 2
beene , 6
amaz'd , 2
staid , 3
long? , 3
sable , 3
siluer'd , 2
perchance , 4
'twill , 2
wake , 3
warrant , 4
assume , 4
noble , 10
person , 2
bid , 3
peace , 6
bee , 10
treble , 2
silence , 4
vnderstanding , 3
platforme , 2
twixt , 2
eleuen , 2
armes? , 3
soule , 14
foule , 6
deeds , 2
rise , 2
laer , 29
necessaries , 2
imbark't , 2
conuoy , 2
assistant , 3
sleepe , 7
trifling , 2
fauours , 3
violet , 2
youth , 7
primy , 2
suppliance , 2
minute? , 2
ophel , 2
thewes , 2
bulke , 3
temple , 2
waxes , 3
growes , 3
wide , 3
withall , 5
perhaps , 4
vertue , 8
feare , 7
hee , 12
himselfe , 13
birth , 3
carue , 2
choyce , 4
depends , 2
circumscrib'd , 2
peculiar , 3
sect , 2
force , 2
voyce , 5
credent , 2
list , 5
songs , 2
vnmastred , 2
importunity , 2
keepe , 11
reare , 2
affection , 5
chariest , 2
maid , 3
prodigall , 3
enough , 4
scapes , 2
calumnious , 2
stroakes , 2
before , 10
buttons , 2
disclos'd , 3
contagious , 2
blastments , 2
imminent , 2
rebels , 2
none , 8
else , 10
neere , 9
ophe , 29
effect , 4
lesson , 2
vngracious , 2
pastors , 2
puft , 2
recklesse , 2
libertine , 2
reaks , 2
reade , 2
double , 6
blessing , 4
winde , 7
shoulder , 2
saile , 2
few , 4
precepts , 2
memory , 3
vnproportion'd , 2
act , 5
friends , 9
their , 28
adoption , 2
tride , 2
dull , 3
palme , 3
entertainment , 2
entrance , 2
quarrell , 2
euery , 6
costly , 2
habit , 2
purse , 2
buy , 4
apparell , 2
proclaimes , 3
select , 2
generous , 3
cheff , 2
lone , 2
loses , 2
friend , 4
aboue , 4
canst , 2
false , 4
said , 7
lockt , 2
please , 8
somthing , 2
touching , 3
l[ord] , 2
polon , 18
marry , 6
bethought , 2
giuen , 9
priuate , 2
put , 12
vnderstand , 5
cleerely , 2
betweene , 10
truth? , 2
puh , 3
greene , 2
girle , 2
tenders , 3
call , 12
them? , 3
tane , 3
pay , 3
crack , 2
poore , 13
phrase , 7
honourable , 3
fashion , 5
speech , 8
bloud , 5
giuing , 2
light , 6
heate , 5
extinct , 2
daughter , 8
set , 13
entreatments , 2
higher , 2
rate , 2
inuestments , 2
show , 2
breathing , 2
sanctified , 2
pious , 2
bonds , 2
plaine , 2
tearmes , 3
forth , 4
words , 13
talke , 3
nipping , 2
eager , 2
hower , 3
now? , 5
wherein , 2
held , 3
wont , 3
takes , 6
rouse , 2
dreines , 2
draughts , 2
renish , 3
triumph , 2
pledge , 2
horat , 2
custome? , 2
mind , 3
natiue , 3
honour'd , 3
breach , 2
obseruance , 2
health , 3
goblin , 2
damn'd , 4
euents , 2
wicked , 4
charitable , 2
burst , 3
ignorance , 4
cerments , 2
sepulcher , 2
op'd , 2
ponderous , 2
marble , 2
iawes , 2
coarse , 2
compleat , 2
steele , 2
making , 2
hidious? , 2
fooles , 3
beyond , 2
reaches , 2
soules , 3
impartment , 2
wafts , 2
remoued , 2
ground , 6
pins , 2
fee , 2
immortall , 2
dreadfull , 3
sonnet , 2
cliffe , 2
assumes , 2
other , 19
horrible , 2
draw , 7
into , 13
madnesse , 12
it? , 6
makes , 11
petty , 2
artire , 2
body , 10
cal'd? , 2
vnhand , 2
goe , 7
follow , 12
desperate , 5
imagination , 3
let's , 9
fit , 10
obey , 4
after , 8
issue , 2
come? , 2
sulphurous , 2
tormenting , 2
flames , 2
gho , 5
reuenge , 7
shalt , 5
what? , 2
doom'd , 2
certaine , 3
terme , 2
crimes , 3
dayes , 4
secrets , 2
prison-house , 2
harrow , 2
freeze , 2
blood , 6
knotty , 2
combined , 2
lockes , 2
quilles , 2
fretfull , 2
porpentine , 2
vnnaturall , 3
murther , 5
murther? , 2
meditation , 2
duller , 2
should'st , 3
fat , 3
weede , 2
stirre , 2
serpent , 2
stung , 2
rankly , 2
abus'd , 2
weares , 2
crowne , 5
o , 18
propheticke , 2
vncle? , 2
witchcraft , 2
wits , 5
traitorous , 2
guifts , 2
seduce? , 2
won , 2
shamefull , 2
lust , 2
falling , 3
went , 6
vow , 3
wretch , 4
naturall , 6
gifts , 4
lewdnesse , 2
court , 4
shape , 5
sate , 2
celestiall , 3
prey , 2
garbage , 2
briefe , 2
sleeping , 2
orchard , 2
secure , 2
vncle , 2
stole , 3
porches , 2
poure , 2
holds , 4
enmity , 2
gates , 2
allies , 2
curd , 2
aygre , 2
droppings , 2
milke , 2
instant , 3
tetter , 2
bak'd , 2
about , 15
smooth , 3
dispatcht , 2
vnhouzzled , 2
disappointed , 2
vnnaneld , 2
imperfections , 2
couch , 2
luxury , 2
damned , 5
incest , 2
taint , 2
contriue , 2
thornes , 2
bosome , 4
lodge , 2
glow-worme , 2
showes , 2
matine , 2
adue , 6
couple , 2
hell? , 2
stiffely , 2
thee? , 3
distracted , 4
globe , 2
wipe , 2
triuiall , 2
fond , 2
records , 2
obseruation , 2
coppied , 2
booke , 3
volume , 2
braine , 5
pernicious , 2
woman! , 2
tables , 3
least , 2
i'm , 3
sure , 2
sworn't , 2
you'l , 4
reueale , 2
think , 3
heau'n , 2
there's , 9
nere , 2
villaine , 5
dwelling , 2
graue , 7
right , 7
shake , 2
wild , 2
hurling , 2
sorry , 2
offend , 2
offence , 3
vision , 2
schollers , 2
soldiers , 3
here , 6
fellow , 8
selleredge , 2
sweare , 7
sword , 11
hic , 2
vbique? , 2
wee'l , 8
shift , 2
grownd , 2
lay , 6
mole , 2
can'st , 2
worke , 7
fast? , 2
neuer , 12
helpe , 6
mercy , 3
(as , 6
heereafter , 2
seeing , 3
pronouncing , 2
doubtfull , 3
ought , 5
rest , 7
perturbed , 2
god , 13
willing , 3
lacke , 3
ioynt , 2
cursed , 3
spight , 2
visite , 2
inquiry , 2
meanes , 8
encompassement , 2
drift , 2
question , 6
demands , 2
touch , 4
reynol , 5
addicted , 2
dishonour , 3
heed , 2
companions , 2
noted , 2
quarelling , 2
drabbing , 2
faith , 6
open , 2
incontinencie , 2
seeme , 5
taints , 2
liberty , 4
sauagenes , 2
vnreclaim'd , 2
generall , 5
assault , 2
wherefore , 3
belieue , 2
fetch , 2
'twere , 5
soil'd , 2
working , 3
hauing , 2
prenominate , 2
closes , 4
consequence , 4
according , 3
addition , 2
does , 8
say? , 2
gentleman , 4
tennis , 2
videlicet , 2
brothell , 2
wisedome , 3
reach , 2
indirections , 2
directions , 2
sonne , 8
not? , 5
alas , 5
affrighted , 2
heauen? , 2
doublet , 2
vnbrac'd , 2
vngartred , 2
giued , 2
anckle , 2
pitious , 2
purport , 2
horrors , 2
mad , 12
loue? , 4
tooke , 5
wrist , 2
brow , 4
wauing , 2
shatter , 2
ouer , 4
shoulders , 2
turn'd , 5
adores , 2
extasie , 4
leads , 2
vndertakings , 2
afflict , 2
natures , 3
sorrie , 2
command , 7
accesse , 2
pol , 27
quoted , 2
trifle , 2
proper , 3
age , 6
yonger , 2
sort , 3
close , 3
moue , 5
rosincrane , 2
guildensterne , 10
cum , 2
alijs , 2
welcome , 9
rosincrance , 6
neede , 2
vse , 10
prouoke , 2
hamlets , 5
transformation , 2
resembles , 2
brought , 6
vouchsafe , 2
pleasures , 2
gather , 3
open'd , 2
lies , 3
remedie , 2
qu , 25
talk'd , 2
whom , 3
adheres , 2
expend , 2
a-while , 2
visitation , 2
receiue , 4
soueraigne , 3
power , 4
entreatie , 2
guil , 6
seruices , 2
feete , 2
instantly , 2
visit , 3
ye , 6
pleasant , 2
helpfull , 2
polonius , 9
ambassadors , 2
dutie , 4
vs'd , 2
found , 4
feast , 4
bring , 3
sourse , 2
sonnes , 3
distemper , 3
voltumand , 2
sift , 2
frends , 2
greetings , 2
desires , 3
nephewes , 2
look'd , 2
truly , 3
sicknesse , 3
impotence , 2
(in , 2
breefe) , 2
obeyes , 2
whereon , 3
ouercome , 2
ioy , 5
commission , 4
imploy , 2
intreaty , 2
shewne , 2
through , 4
dominions , 2
therein , 2
likes , 3
liege , 3
expostulate , 2
since , 8
breuitie , 2
wit , 3
breefe , 3
is't , 5
pittie , 2
cause , 5
defectiue , 2
whil'st , 3
surmise , 2
letter , 3
idoll , 2
beautifed , 2
white , 2
starres , 2
lier , 2
ill , 5
numbers , 2
adieu , 2
machine , 2
soliciting , 2
receiu'd , 4
faithfull , 2
wold , 2
faine , 2
proue , 3
think? , 2
perceiued , 2
maiestie , 3
winking , 2
mute , 2
thinke? , 2
round , 4
prince , 3
locke , 2
resort , 2
fruites , 2
aduice , 2
sadnesse , 2
fast , 2
thence , 3
lightnesse , 2
declension , 2
waile , 2
possitiuely , 2
otherwise , 2
hid , 3
indeede , 4
lobby , 3
loose , 3
encounter , 3
reading , 2
sadly , 2
