Word ,  Count 
partner , 2
grace , 10
prediction , 1
hauing , 3
royall , 9
hope , 9
wrapt , 1
withall , 6
into , 12
seedes , 2
time , 46
graine , 1
grow , 2
then , 63
begge , 2
fauors , 1
hate , 2
hayle , 3
lesser , 2
than , 1
greater , 3
happy , 3
much , 13
happyer , 1
kings , 12
none , 13
stay , 5
imperfect , 1
speakers , 1
sinells , 1
liues , 11
prosperous , 2
stands , 5
prospect , 1
beleefe , 2
owe , 4
intelligence , 1
blasted , 1
stop , 2
way , 17
such , 24
prophetique , 1
greeting , 1
charge , 3
vanish , 2
bubbles , 1
water , 4
has , 19
them , 50
whither , 2
vanishd , 2
corporall , 2
melted , 1
breath , 7
stayd , 1
eaten , 2
insane , 1
root , 2
takes , 5
reason , 5
prisoner , 1
children , 7
went , 4
selfesame , 2
tune , 1
whos , 7
happily , 1
receiud , 2
newes , 4
successe , 4
reades , 1
personall , 1
venture , 1
rebels , 1
sight , 10
wonders , 1
prayses , 2
contend , 3
silencd , 1
viewing , 1
ore , 4
rest , 9
findes , 2
stout , 1
rankes , 1
nothing , 16
afeard , 1
images , 1
thick , 3
tale , 2
post , 2
euery , 16
one , 32
beare , 10
kingdomes , 2
defence , 2
powrd , 1
downe , 15
before , 21
ang , 4
wee , 4
sent , 4
thanks , 4
onely , 12
harrold , 1
pay , 4
an , 28
earnest , 2
call , 10
addition , 2
deuill , 3
true , 8
dresse , 1
borrowed , 1
robes , 2
was , 45
vnder , 7
heauie , 4
iudgement , 2
beares , 2
life , 18
loose , 3
whether , 4
combind , 1
those , 24
lyne , 1
hidden , 1
labourd , 1
countreyes , 1
wracke , 2
treasons , 2
capitall , 1
confessd , 2
proud , 2
ouerthrowne , 1
glamys , 4
greatest , 2
behinde , 1
thankes , 5
paines , 4
gaue , 2
promisd , 4
lesse , 8
trusted , 2
home , 5
might , 7
enkindle , 1
vnto , 3
crowne , 5
besides , 3
tis , 37
oftentimes , 1
winne , 3
harme , 5
instruments , 3
darknesse , 2
truths , 2
honest , 5
trifles , 1
betrays , 1
deepest , 1
consequence , 2
cousins , 1
word , 6
pray , 13
told , 2
prologues , 1
swelling , 1
act , 4
imperiall , 2
theame , 1
thanke , 4
gentlemen , 4
supernaturall , 1
solliciting , 1
ill , 3
giuen , 8
commencing , 1
yeeld , 4
suggestion , 1
whose , 14
horrid , 3
image , 2
vnfixe , 2
heire , 1
seated , 1
heart , 18
knock , 16
ribbes , 1
feares , 8
horrible , 3
imaginings , 1
thought , 15
murther , 9
shakes , 1
single , 3
function , 1
smotherd , 1
surmise , 1
partners , 1
rapt , 2
chance , 5
stirre , 2
honors , 4
garments , 1
cleaue , 2
mould , 1
aid , 1
houre , 10
runs , 1
roughest , 1
leysure , 3
fauour , 1
dull , 1
braine , 4
wrought , 4
forgotten , 2
registred , 1
turne , 3
leafe , 2
reade , 2
let , 35
toward , 5
thinke , 13
chancd , 1
interim , 1
weighd , 2
free , 5
hearts , 3
gladly , 1
enough , 8
friends , 10
quarta , 4
flourish , 5
malcolme , 13
commission , 1
returnd , 1
liege , 3
back , 1
spoke , 4
saw , 5
die , 1
frankly , 1
implord , 1
highnesse , 9
pardon , 2
forth , 6
deepe , 6
repentance , 1
became , 2
