White Walker Diamonds Live Resin - 1 Gram,49642,Hybrid,83%,35.0,,Fuego,Eaze,
25mg THC Soft Gels,47517,Hybrid,25mg,35.0,,Absolute Xtracts,Eaze,
G Pen Gio Banana Pie,47729,Hybrid,70%,35.0,,Humboldt Farms,Eaze,
PAX Era Alien OG,47702,Hybrid,78%,35.0,,Jetty,Eaze,
PAX Era Granddaddy Purps,47697,Indica,81%,35.0,,Jetty,Eaze,
PAX Era Maui Wowie,47701,Sativa,56%,35.0,,Jetty,Eaze,
PAX Era Mango Haze,47682,Sativa,73%,35.0,,Island,Eaze,
PAX Era Hashberry,51577,Hybrid,73%,35.0,,Island,Eaze,
PAX Era Blackberry OG,47681,Indica,73%,35.0,,Island,Eaze,
PAX Era Tangie Sap,47680,Hybrid,73%,35.0,,Island,Eaze,
Strawberry Banana - 1 Gram,47632,Hybrid,80%,35.0,,Old Pal,Eaze,
Clementine - 1 Gram,47631,Sativa,80%,35.0,,Old Pal,Eaze,
Mimosa,51011,Sativa,24%,35.0,,Cloud 9,Eaze,
Capstone,51410,Sativa,22%,35.0,,Cloud 9,Eaze,
G Pen Gio Strawberry Banana,47718,Hybrid,62%,34.0,,Herbology,Eaze,
Kannastor 4-piece - 2.2,31670,,,33.75,,Kannastor ,PEI Cannabis,
Lift Citrus Punch,44197,Sativa,14.00 - 21.00,33.45,,Sundial ,PEI Cannabis,
White Shark,43099,Hybrid,14.00 - 20.00,33.03,,Reef ,PEI Cannabis,
White Rhino,44368,Indica,16.00 - 21.00,32.11,,Emerald Health Therapeutics ,PEI Cannabis,
18:1 CBD Soft Gels,47516,CBD,6mg,32.0,,Care By Design,Eaze,
1:1 CBD Soft Gels,47514,CBD,100mg,32.0,,Care By Design,Eaze,
4:1 CBD Soft Gels,47515,CBD,25mg,32.0,,Care By Design,Eaze,
Gelato Shatter - 1 Gram,49641,Hybrid,70%,32.0,,Neutron Genetics,Eaze,
Mars OG Shatter - 1 Gram,49639,Indica,75%,32.0,,Neutron Genetics,Eaze,
Strawberry Lemonade Shatter - 1 Gram,49640,Sativa,70%,32.0,,Neutron Genetics,Eaze,
Cold Creek Kush,45066,Hybrid,15.00 - 23.00,31.38,,Vertical ,PEI Cannabis,
Herringbone,31661,Hybrid,15.00 - 25.00,30.99,,Tweed ,PEI Cannabis,
Bakerstreet,31534,Indica,15.00 - 25.00,30.99,,Tweed ,PEI Cannabis,
No. 502 White Light,32392,Sativa,13.00 - 20.00,30.44,,Haven St. ,PEI Cannabis,
Shooting Star,42181,Sativa,14.00 - 16.99,30.44,,Haven St. ,PEI Cannabis,
No. 503 Block Party,31666,Sativa,14.00 - 24.00,30.44,,Haven St. ,PEI Cannabis,
Renew,31526,Indica,16.00 - 26.00,30.41,,Solei ,PEI Cannabis,
Cookies Gio - Blue,49650,Gio Battery,,30.0,,Cookies,Eaze,
Cookies Gio - White,49651,Gio Battery,,30.0,,Cookies,Eaze,
Era,47676,PAX Battery,,30.0,,PAX,Eaze,
calm 50 doses,47736,CBD,6%,30.0,,dosist,Eaze,
relief 50 doses,47740,CBD,48%,30.0,,dosist,Eaze,
calm dial by dosist,47738,CBD,10mg,30.0,,dosist,Eaze,
passion 50 doses,47742,Hybrid,71%,30.0,,dosist,Eaze,
arouse 50 doses,47741,Hybrid,67%,30.0,,dosist,Eaze,
sleep 50 doses,47739,Hybrid,64%,30.0,,dosist,Eaze,
bliss dial by dosist,47735,Hybrid,100mg,30.0,,dosist,Eaze,
bliss 50 doses,47733,Hybrid,66%,30.0,,dosist,Eaze,
