Word , Count 
owne,31
came,9
ambassador,2
purport,2
extasie,5
alexander,6
young,10
villaine,10
spleenatiue,2
conscience;,2
wherefore,4
associates,2
quality,3
baudry,2
father,46
bounteous,2
saile,3
loued,4
whereas,2
speechlesse,2
thence,5
seruants:,2
porches,2
thine,14
treasure,5
he,197
pace,3
sight;,2
vgly,2
kites,2
wife:,3
vnweeded,2
onely,6
fat,7
well;,3
pleas'd,3
mettle,3
through,8
sorry,3
paire,3
backe,6
say'st,2
swearing,3
passage,3
rouse,3
can,34
clay,4
imediate,2
dispatch,3
bowts,2
fallies,2
partizan,2
feele,2
shuffel'd,2
beare,14
vnnerued,2
boxe;,2
shardes,2
withall;,2
religion,2
patches,2
fie:,2
appliance,2
she,45
abhorred,2
sphere,2
alarum,2
scoenes,2
ifaith,3
yeelding,2
ha't:,2
villany,2
tedious,3
souldiours,2
desirous,2
pawse,2
hic,2
dispriz'd,2
appetite,2
hourely,2
wonderfull,3
conference,2
natures,3
false,7
finds,2
ayre,11
liberty,4
poysoner,3
rogue,3
throate,3
chaste,2
readinesse,2
vp-hoorded,2
strongest,2
phrase:,2
tongue;,2
city,3
deeme,2
whipt,2
soales,2
them:,6
button,2
neglected,3
noise,7
sword,16
laide,3
basket,3
on't,7
horson,2
secret,5
rabble,2
exercise,3
foul'd,2
hangers,4
been,4
call,24
mony,2
horses,3
toward,5
blastments,2
kinde,11
abroad,2
gall,3
one,45
attended;,2
vnmastred,2
staires,2
yeare,5
hell,11
company,2
table:,2
attent,2
enuy,2
beckens,2
night;,4
toe,3
dig'd;,2
rule,2
flats,2
fiers,2
wish'd,2
gen,2
share,2
rotten,3
waile,2
still,17
oft,11
prettinesse,2
nunnerie,2
letter,4
song,2
soldier,3
calfe,2
mighty,3
horat,2
actors,3
against,21
actions,2
boorded,2
cup,5
stirre,4
himselfe:,2
dosen,2
ordinate;,2
yong,9
rosincrane,3
day;,3
grew,2
sweete:,2
guarded,2
rend,2
trickes,3
ha't,2
reignes,2
chappell,3
bookes,2
apt,3
ditchers,2
feare,19
bloud,4
quest,2
hide,5
lippes,2
beggard,2
gumme:,2
beseech,8
shipwright,3
cornelius,5
elsenour,2
ophelia,27
nothing,26
wandring,2
withers,2
accuse,2
dies,2
lend,5
excellence,3
sometime,2
tarre,2
note,7
laer,61
sunday,2
braine,6
forgotten,2
kist,2
gain-giuing,2
craft,3
affraide,2
vnhatch't,2
losse,2
traile,3
alas,10
slanders,2
wrong'd,3
churchyards,2
fore-stalled,2
censure;,2
sulphurous,2
vertuous,2
frend:,2
obligation,3
hard;,2
fell,9
enters,2
phoebus,2
buffets,2
reading,3
o'that,2
conueniently,2
depriu'd,2
vnshaped,2
head:,2
cudgell,2
crew,3
infect,2
recorders:,2
curles,2
finger'd,2
modestie,5
custome,9
protests,2
flaw,2
iest;,2
vnholy,2
stroke,2
happen,2
probation,2
fortinbras:,2
me,211
packing:,2
battalians,2
breeder,2
wipe,3
good:,4
raine,2
choyce,4
vnsatisfied,2
nobility,2
fellow:,2
insolence,2
venome,3
bodies;,2
approue,2
villanous,2
perhaps,6
exercise;,2
aduanc'd,2
punish,2
robin,2
appear'd,4
otherwise,4
in't,8
withall,5
monsters,2
delight,4
deliuer,3
acquaint,2
desart,3
ioy,9
stop,4
wilfully,2
camelions,2
pickers,2
repose,2
contrary,2
habite,3
tellus,2
iohn,2
rights,2
coach:,2
not,296
sancturize;,2
vnmanly,2
meaning:,2
prais'd,2
honestie,5
gentrie,2
treads,2
purposes,3
husbandry,2
videlicet,2
set,23
mockery,2
bugges,2
season,7
pittifull,2
ambiguous,2
findes,3
tragedians,2
tell,44
sledded,2
admittance,2
does:,2
plundge,2
olympus,2
of,610
noble,17
brow,5
lists,2
quillets,2
intent,3
well-tooke,2
southerly,2
do,94
asse-,2
arraigne,2
horrible:,2
foyle,2
replies,2
aduice,4
let's,11
happinesse,2
beleefe,2
shockes,2
fantasie,3
ayrie,2
bound,6
serpent,3
bawdy,2
hasten,2
quarelling,2
goose-quils,2
lunacy,2
vnknowne,2
palpable,2
wager,7
volly,2
eterne,2
vnto,6
hee's,3
being,12
worser,2
charge,7
daughters,2
consent,4
second,11
debatement,2
bend,4
imminent,2
claime,2
contriue,3
ground,6
accepts,2
lies,5
calamity,2
forgone,2
strife,2
reuisits,2
inuentors,2
k,2
conueyances,2
gentlemen:,2
downe;,2
bought,2
assay:,2
strikes,2
prison-house;,2
innocent,2
rocke,2
wisedome,6
reueng'd:,2
rebuke,2
toyles,2
thinking,4
oare,2
vpspring,2
working:,2
thornes,2
gonzago's,2
tend,5
tables;,3
sage,2
ouer-happy:,2
voyage,2
swear't,2
ake,2
wittemberge,2
aduise,2
regard,2
throat;,2
selfe,62
slander,2
him:,11
compound,2
imagination,5
sport,3
leuell,2
runnes,2
on't:,3
drownes,2
intruding,2
doublet,2
addicted,2
why;,2
sickly,2
crooke,2
cocke,6
visite,2
euerie,2
life:,3
affection,4
ambition,5
wing,2
see,42
strict,2
scarft,2
on;,4
scullion,2
defectiue,2
al,2
corrupted,2
motiue,5
answerest,2
king,169
prisoner,3
ship-wrights,2
beene,14
wildely,3
flash,2
true;,2
aside;,2
barr'd,2
vnction,3
lunacie,2
function,2
actor,4
affront,2
fortified,2
moued,2
woe,8
requit,2
purples,2
compost,2
both,34
exits,2
longer,6
take,33
successiue,2
bespeake,2
easie,2
denote,2
shent,2
eyes,20
addition,2
sent,15
shakespeare,2
sect,2
plac't,2
deny,3
performe;,2
lockes,2
throne,3
forraigne,2
boystrous,2
wretch,4
passions,2
t'haue,3
rite,2
sensible,3
charitable,3
weakest,2
agreeing:,2
please;,2
singeth,2
calmely,2
france,6
cannot,28
physicke,2
mortiz'd,2
straight:,2
mornings,2
mincing,2
bodykins,2
sweepe,2
blunt,2
laboured,2
courtesie,2
scorne,2
depriue,2
growne,5
it;,7
slaues,2
enemy,3
incapable,2
met,2
bulwarke,2
